Repo,Commit,garnix,github-actions-cachix-parallel,github-actions-cachix-serial,github-actions-parallel,github-actions-serial
data/Effect-TS/effect,109aa6adb648e5040e9057e4c8bc896097ab96ea,103,58,118,45,42
data/Effect-TS/effect,0e619913e504ec7d8733e7880e28d66900a7ccd3,19,51,45,38,38
data/Effect-TS/effect,6978c0789e97eb1595f335454321923e336be63f,16,44,51,32,41
data/Effect-TS/effect,d5a19499aac7c1d147674a35ac69992177c7536c,37,48,51,36,40
data/Effect-TS/effect,4c90c54d87c91f75f3ad114926cdf3b0c25df091,18,48,45,43,38
data/Effect-TS/effect,d3d3bda74c794153def9027e0c40896e72cd5d14,17,49,46,37,46
data/Effect-TS/effect,55a9d68f0b6066624a917fa76b91a93fb7f26e75,18,43,44,35,36
data/Effect-TS/effect,6318090b7c3c9a5cd3b23337aefb63cb3f2ca957,26,44,53,35,39
data/Effect-TS/effect,7b2f8743d96753c3e24ac4cc6715a4a7f4a2ca0c,19,51,49,43,45
data/Effect-TS/effect,a904a739459bfd0fa7844b00b902d2fa984fb014,17,48,53,37,44
data/Effect-TS/effect,92c0322a58bf7e5b8dbb602186030839e89df5af,57,43,45,34,43
data/Effect-TS/effect,fc444d780a03154e855452b491d7dcae2cba4973,39,46,57,42,33
data/Effect-TS/effect,d626c28bcbbedbc2670ecaac2bf13458f48071e0,35,47,44,47,33
data/Effect-TS/effect,c4b84f724ae809f3450d71c3ea5d629205fc479f,21,46,45,34,35
data/Effect-TS/effect,d389a7801f42cceee2296b7f563e97d69a41b554,20,47,46,44,34
data/Effect-TS/effect,87f7ef28a3c27e2e4f2fcfa465f85bb2a45a3d6b,19,58,54,40,44
data/Effect-TS/effect,210d27e999e066ea9b907301150c65f9ff080b39,17,43,45,35,37
data/Effect-TS/effect,5b46e996d30e2497eb23095e2c21eee04438edf5,17,43,51,41,37
data/Effect-TS/effect,1d3a06bb58ad1ac123ae8f9d42b4345f9c9c53c0,17,46,58,42,46
data/Effect-TS/effect,2198fa46bf4b76c2eb2aa44df234467d77f31ac4,17,46,45,40,34
data/agda/agda,646a28e9a8e2b9d201a06c52e205e004d54724db,896,1732,1928,1805,2642
data/agda/agda,f0a4b483c464574aa8207f97b458fdf2c87c25df,827,1721,1696,2363,1708
data/agda/agda,095088b5bc1866c5ab8fb004eff6a56d49c0a381,813,2045,1732,1708,1682
data/agda/agda,ac28b21f0378c1f5a82af66706a7be8486675166,836,2371,2122,1766,1927
data/agda/agda,82c19372d78133e386467b4ad92f4cb13dcc058d,848,1732,2067,2075,1763
data/agda/agda,2a0a3dadb0603d488b4076f5cdb75297f45802bd,814,1953,1763,2357,1907
data/agda/agda,02eb3a997f5c5123e5def6c49d6b445f9449a748,826,1715,1984,1667,2019
data/agda/agda,8cf0bae64afb21e492efe1f1ad9eb1d898c14b91,842,2092,2330,2059,1686
data/agda/agda,de7f50310ea722491f0d422434c6f0c077fa0e7f,812,2129,2099,1698,1700
data/agda/agda,ee876ee229cdc2f3b1ff80f6d60568a1869f9385,819,1748,1963,1998,1683
data/agda/agda,fe4337982fc3a097ab6ee27554caefdcf934f281,963,1973,1749,2069,2063
data/agda/agda,ea16c4cf0833afa2b2386260928b804d7f471112,2586,1789,1925,1892,1691
data/agda/agda,5d25cf8ef920310341a782b11bb51ad7462a2902,856,2303,1717,1672,2377
data/agda/agda,6986b28b40adc41888de59736207303862859c22,523,1449,1265,1246,1388
data/agda/agda,5e47be63595e70eb901a477b2c18adca8df5b419,513,1128,1857,1541,1801
data/agda/agda,01f12f05b2f1c617cefc005933a632bcedb2d703,38,1209,1241,1630,1700
data/agda/agda,6c28d45260d3d1655f12f374f61f563c87c98344,443,1588,1245,1219,1571
data/agda/agda,57e4bad0a324be68384d9ea1ff1dc1b1797e7726,446,1122,1299,1679,1663
data/agda/agda,f515556dab7f4686544f953d0f9d52ef8ac5de94,459,1164,1203,1491,1768
data/agda/agda,561fdc2f87e732cc8ea8c3a2223041efef3a63d3,456,1158,1193,1488,1518
data/coder/code-server,7649b6e6cac498a85c32bac9feb9ba6090b94c52,60,,,,
data/coder/code-server,6f078a48a639cce48d1016cce323940cac8122e5,24,,,,
data/coder/code-server,d9fe46a6be2baeb056a4cfadf4046c3ed03390e9,19,,,,
data/coder/code-server,45694d38c49b7467b9f6e16529eadaaf1965dbfc,21,,,,
data/coder/code-server,0b84523121d6302fbe30eda7899ec3b81810748e,19,,,,
data/coder/code-server,d6c5a4af9ccba9cc390a9a35e52590af13a31461,19,,,,
data/coder/code-server,d0215eca8804d0be5d3551c39404e336032c3141,20,,,,
data/coder/code-server,07901026a024f780ca945123a82f1dd1fb2fea15,23,,,,
data/coder/code-server,ff0fcf6cde71c95568b1436315a2c2259a7f69f6,19,,,,
data/coder/code-server,5214555683f5f3eb50cbe009613be8d99d0f1981,22,,,,
data/coder/code-server,a143dcf11195752a544918a0c19f144b98ff80eb,21,,,,
data/coder/code-server,871030e9978a1042d7e96203680952dcbe09601c,19,,,,
data/coder/code-server,21e798ccdff6ac9c08515a783fcba3accb5d99b0,20,,,,
data/coder/code-server,c1be39abc76b532dc9474d54246d8c7e0a284204,22,,,,
data/coder/code-server,2cabe799e2246dfa1a1a718408c8bcc347dbc97b,40,,,,
data/coder/code-server,aea28cb499811670c44b1533cb40aa55cdc651ae,31,,,,
data/coder/code-server,2786f6075245949bc562ce56a9301de1acb99110,21,,,,
data/coder/code-server,94f759a53ce496a433221ba063cb52d3e5cf117b,27,,,,
data/coder/code-server,749e105cd9665269d7bb12318752d3455b1edec8,25,,,,
data/coder/code-server,cc68c0fb0f031865c6a78c5f2f21e0c65c566570,19,,,,
data/crytic/echidna,068fa9dc13fd477e57390e5b540ed51aa3f926ac,294,615,711,740,784
data/crytic/echidna,c42eff0750f0ba1493ad3e94f36cab6c74d01795,18,436,428,606,672
data/crytic/echidna,e03efba8d2445673c5172fce6db88749ebeff318,244,445,593,476,502
data/crytic/echidna,f52b35af4e646da3d9d86408d9ccda9134e2b9c7,66,234,247,554,605
data/crytic/echidna,494eb9241d1417015870420431de6e691c821607,1184,12177,12466,13688,10637
data/crytic/echidna,d2eac5090cc3b62581b841c4de7a9399e9441b71,23,558,552,11018,13160
data/crytic/echidna,39c4deb324604d2f842ef251df6eb135de8caee2,21,633,328,10435,11295
data/crytic/echidna,25361bdd16b022fc0e967b43f1bce6a6d91740bb,19,390,528,,11352
data/crytic/echidna,60a68b6886da6ead6a1acaecafbbc2fbf03f866c,21,522,505,,11246
data/crytic/echidna,04c5a79f0be578076a07c08c5562306905a517be,18,530,324,,
data/crytic/echidna,7ca2cf744727e970fe9160e459eb200ec85fe35b,69,243,367,,
data/crytic/echidna,ce70a8e95848ad9915fea65d5bbf83f44743a074,629,1692,1551,,
data/crytic/echidna,0540ce60cb3660e12b32e46dafc6b9b10b237a0e,24,214,655,,
data/crytic/echidna,0fab478e0b3f9176684b8f567bb497414750d6ba,22,241,650,,
data/crytic/echidna,0d9588545a10478363cc0ec8e211c8d1e02eaf3c,21,8719,9220,,
data/crytic/echidna,b7f5e79bf1d62ed476a29a36742f9da65a4a2fb7,19,506,540,,
data/crytic/echidna,0a3480974cb468fb4ffe4d658edb5a44c090958c,91,430,427,,
data/crytic/echidna,f6e8fbb0167f30c27194df9218b2162caaf08da0,82,438,388,,
data/crytic/echidna,937102bcba49ad6c3502403f75cddc943535e5a2,82,421,388,,
data/crytic/echidna,9d502be26597e26c468f94f7c56a6c5692cd0577,70,431,525,,
